id,LON,LAT,AREA,SA,DHW,SST08,SST10
51,160.053287,-12.261553,3.245,0,0.054065566454363,0.489419126663555,0.562929360035408
381,160.053218,-12.297021,3.993,0,0.053523623051864,0.486918387215999,0.562615119883157
384,160.162137,-12.306501,1.171,0,0.050995546763474,0.487055122863148,0.569395604255771
577,168.838912,-12.294271,4.245,0,0.055563350533071,0.478530394483489,0.586543820459643
711,160.051396,-12.313784,0.922,0,0.053187837997779,0.484838629830174,0.561096678670139
712,160.097235,-12.322097,3.564,0,0.051998312408791,0.4858630844849,0.56572208564754
713,160.120744,-12.342411,2.633,0,0.052454984968734,0.483557959682786,0.562906044355783
1043,160.142289,-12.361434,1.769,0,0.049633579615118,0.481755229111334,0.566128294092771
1044,160.180271,-12.362311,3.06,0,0.048895974368312,0.486698289417148,0.568589986272437
1373,160.150364,-12.416519,2.172,0,0.049148182782158,0.476662429438588,0.564780974437117
1374,160.178334,-12.426759,4.935,0,0.048882491107605,0.480939536592188,0.566104857510223
1375,160.213543,-12.433296,2.865,0,0.048891007900238,0.480695754289627,0.565999448299408
1705,160.22005,-12.462687,6.03,0,0.048891007900238,0.472265736023145,0.565837847729379
1706,160.2518,-12.483767,0.723,0,0.047763929813631,0.491466662935211,0.573445058204373
2036,160.265606,-12.508556,8.191,0,0.047933925905007,0.486902262463059,0.576549293566947
2037,160.29901,-12.523312,1.677,0,0.047500811638676,0.489433849268028,0.57860119770601
2366,160.278274,-12.551133,4.682,0,0.049271956893221,0.46503118125658,0.575316590249743
2367,160.322782,-12.541589,1.814,0,0.046873724426652,0.495085045113913,0.581049974086425
2368,160.3583,-12.564149,3.274,0,0.047613520955119,0.496334742246625,0.58617487455945
2369,160.381525,-12.574635,0.023,0,0.047698546200991,0.485883325338364,0.583532392978668
2696,160.288449,-12.57858,0.367,0,0.049844980239868,0.460347563028336,0.578562498092651
2697,160.313436,-12.593667,2.265,0,0.047947282269953,0.480239291556314,0.583262042144808
2698,160.354389,-12.601534,1.119,0,0.047669024399426,0.484415917391722,0.585970397876863
2699,160.402469,-12.589532,4.039,0,0.048064740099747,0.506954393212518,0.586829739778546
2700,160.440071,-12.608484,2.505,0,0.049253015530405,0.508139555120715,0.585981594421409
3026,160.280662,-12.659571,0.515,0,0.050083473324776,0.450726509094238,0.592586696147919
3030,160.45774,-12.638981,4.375,0,0.04925318120469,0.518219023571977,0.582761201068677
3356,160.286233,-12.669017,1.244,0,0.050083473324776,0.450726509094238,0.592586696147919
3357,160.307373,-12.683183,5.95,0,0.049192913813189,0.466510724736992,0.586245853359337
3358,160.352725,-12.678213,1.764,0,0.048943266380974,0.479996180311041,0.585327431204284
3359,160.402936,-12.691072,0.098,0,0.049108667263871,0.490063501526146,0.583422563233614
3360,160.442288,-12.684715,3.701,0,0.049008341781122,0.501848059799184,0.582878761431555
3687,160.328384,-12.718045,1.353,0,0.050441212952137,0.454776793718338,0.590722024440765
3688,160.34504,-12.740402,1.749,0,0.05004977944251,0.46878690477317,0.584313740839072
3689,160.406842,-12.727742,0.07,0,0.049409887159914,0.490745732200127,0.581130641108424
3690,160.448248,-12.728238,3.852,0,0.048703228323734,0.504131227105827,0.578978262104431
4019,160.386003,-12.783608,0.907,0,0.051222038239253,0.475639315963223,0.575802846198062
4020,160.465952,-12.757466,0.933,0,0.0485466490518,0.505071244351626,0.571381262532276
4021,160.480242,-12.777588,2.433,0,0.049844980239868,0.49070155620575,0.573676466941833
4349,160.405643,-12.80672,3.156,0,0.051023425568241,0.479783294605119,0.569907682165101
4351,160.484532,-12.81268,2.713,0,0.049909090557661,0.497566339511275,0.567408177248281
4683,160.567282,-12.875909,1.176,0,0.049129500985146,0.494217276573181,0.562774777412415
5012,160.519187,-12.914741,0.628,0,0.050281426300178,0.482129535390639,0.560642190642663
5013,160.58663,-12.902205,2.495,0,0.048793064913606,0.498250812347042,0.560588986177777
5342,160.535233,-12.944887,3.367,0,0.050700471371148,0.478517795851362,0.560616516206504
5343,160.598418,-12.943693,1.76,0,0.049392688334369,0.494780443444538,0.561591161163775
5344,160.60898,-12.965711,0.431,0,0.050321966409683,0.482344388961792,0.561139404773712
5672,160.551239,-12.982301,1.752,0,0.05094654049528,0.476823004264688,0.560846712111167
5673,160.58059,-13.004935,1.652,0,0.051080413970197,0.482557960500154,0.565270339084269
5674,160.623145,-12.992689,4.017,0,0.050655555023037,0.481095424105924,0.562005174214212
6003,160.590066,-13.029088,4.216,0,0.051711502466773,0.477486967610572,0.564990079385214
6466,166.557548,-13.076381,3.123,0,0.059289218446942,0.451520372753846,0.563499513659602
6467,166.58463,-13.087388,1.37,0,0.058907702565193,0.446403514431665,0.563956173379688
6796,166.551558,-13.120747,2.19,0,0.058907702565193,0.445329007040687,0.564587067364582
6797,166.58981,-13.121945,2.102,0,0.058907702565193,0.440163433551788,0.564577996730804
7126,166.550518,-13.171135,1.427,0,0.058158942144029,0.437023118564405,0.562685353279277
7127,166.586721,-13.168653,0.89,0,0.058350689516861,0.433857927516375,0.562411391725114
7456,166.570276,-13.190778,0.424,0,0.058311469852924,0.433413952589035,0.562258839607239
7457,166.596521,-13.209157,1.854,0,0.057788014995369,0.438832918622401,0.563230462450958
7458,166.64902,-13.223965,1.116,0,0.057676603572202,0.445394055279522,0.5673970832007
7787,166.599505,-13.255924,1.621,0,0.057538733519754,0.43195389496309,0.562559062591158
7788,166.655263,-13.253555,2.646,0,0.057104382436469,0.441465583271619,0.56825305011402
7810,167.646604,-13.254894,2.758,0,0.0487509280486,0.491804990286966,0.598961641642531
8447,166.620109,-13.332919,1.235,0,0.056522775441408,0.422816604375839,0.560921370983124
8448,166.642049,-13.34211,3.257,0,0.056103132190227,0.428175864169522,0.567865793514598
8778,166.648842,-13.373214,1.754,0,0.054734081029892,0.427314577618508,0.570784934660897
8779,166.689921,-13.398597,0.953,0,0.053358656901387,0.4323837479417,0.574803187472487
9109,166.691548,-13.434255,2.578,0,0.051908478191245,0.432485284104821,0.574377412138976
9454,167.357823,-13.472298,4.117,0,0.056925020372769,0.464267687691767,0.528278067351808
9783,167.32096,-13.508168,2.172,0,0.0558922189192,0.448912441745934,0.505713259581006
